,player,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,win_pct,season,per,ts_pct,usg_pct,bpm,vorp,ws,ws_per_48
0,Nikola Jokic,48.0,35.6,26.5,11.0,8.4,1.5,0.6,0.567,0.429,0.867,0.625,2020-21,31.2,0.646,29.0,11.6,5.8,10.7,0.3
0,Damian Lillard,46.0,36.1,29.9,4.3,7.8,0.9,0.3,0.449,0.381,0.936,0.6041666666666666,2020-21,26.6,0.624,32.4,5.9,3.3,7.4,0.214
0,James Harden,33.0,38.3,26.1,8.9,11.2,1.3,0.7,0.468,0.362,0.867,0.6938775510204082,2020-21,25.2,0.617,28.9,7.0,2.8,5.8,0.222
0,Giannis Antetokounmpo,45.0,34.0,28.8,11.4,6.2,1.1,1.3,0.565,0.302,0.687,0.6458333333333334,2020-21,29.0,0.631,32.8,8.5,4.1,7.8,0.246
0,Luka Doncic,42.0,35.0,28.6,8.1,8.9,1.0,0.6,0.487,0.376,0.738,0.5531914893617021,2020-21,26.3,0.598,35.9,7.5,3.5,5.4,0.177
0,LeBron James,41.0,33.9,25.4,7.9,7.9,1.0,0.6,0.513,0.368,0.703,0.6326530612244898,2020-21,24.7,0.605,31.7,7.8,3.4,5.7,0.197
0,Joel Embiid,31.0,32.6,29.9,11.5,3.3,1.2,1.4,0.525,0.422,0.859,0.6875,2020-21,31.6,0.65,34.3,8.6,2.7,6.2,0.295
0,Kawhi Leonard,41.0,34.6,25.9,6.4,4.9,1.8,0.5,0.513,0.387,0.876,0.64,2020-21,27.0,0.619,29.2,6.8,3.2,7.2,0.244
0,Kyrie Irving,34.0,35.6,27.8,5.1,5.9,1.2,0.6,0.516,0.397,0.896,0.6938775510204082,2020-21,24.9,0.617,30.4,5.0,2.1,4.9,0.196
0,Devin Booker,44.0,33.9,25.6,4.1,4.5,0.9,0.3,0.496,0.355,0.854,0.7083333333333334,2020-21,19.7,0.598,32.5,0.7,1.0,3.6,0.116
