,player,season,per,ts_pct,usg_pct,bpm,vorp,win_pct,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
0,Julius Erving,1980-81,25.1,0.572,28.4,7.5,6.9,0.7560975609756098,28.0,454.0,690.0,0.658,82.0,35.0,24.6,8.0,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231
1,Larry Bird,1980-81,19.9,0.528,24.3,4.3,5.2,0.7560975609756098,20.0,423.0,690.0,0.613,82.0,39.5,21.2,10.9,5.5,2.0,0.8,0.478,0.27,0.863,10.8,0.16
2,Kareem Abdul-Jabbar,1980-81,25.5,0.616,26.3,6.1,6.1,0.6585365853658537,8.0,286.0,690.0,0.414,80.0,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0.0,0.766,14.3,0.23
3,Moses Malone,1980-81,25.1,0.585,27.6,3.3,4.3,0.4878048780487805,8.0,180.0,690.0,0.261,80.0,40.6,27.8,14.8,1.8,1.0,1.9,0.522,0.333,0.757,13.7,0.202
4,George Gervin,1980-81,22.9,0.555,32.3,2.9,3.5,0.6341463414634146,1.0,83.0,690.0,0.12,82.0,33.7,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,0.182
5,Marques Johnson,1980-81,22.0,0.583,23.3,5.6,4.9,0.7317073170731707,1.0,73.0,690.0,0.106,76.0,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0.0,0.706,11.2,0.211
6,Robert Parish,1980-81,25.2,0.579,27.1,5.4,4.3,0.7560975609756098,0.0,53.0,690.0,0.077,82.0,28.0,18.9,9.5,1.8,1.0,2.6,0.545,0.0,0.71,10.9,0.228
7,Dennis Johnson,1980-81,17.0,0.516,24.6,1.8,2.5,0.6951219512195121,0.0,50.0,690.0,0.072,79.0,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,0.154
8,Tiny Archibald,1980-81,14.3,0.582,17.5,-0.1,1.4,0.7560975609756098,0.0,32.0,690.0,0.046,80.0,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0.0,0.816,6.9,0.118
9,Jamaal Wilkes,1980-81,18.0,0.556,24.5,0.5,1.9,0.6585365853658537,0.0,19.0,690.0,0.028,81.0,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,0.135
10,Magic Johnson,1980-81,25.7,0.582,24.3,8.8,3.8,0.6585365853658537,0.0,18.0,690.0,0.026,37.0,37.1,21.6,8.6,8.6,3.4,0.7,0.532,0.176,0.76,6.4,0.225
11,Adrian Dantley,1980-81,24.3,0.622,28.4,4.3,5.4,0.34146341463414637,1.0,15.0,690.0,0.022,80.0,42.7,30.7,6.4,4.0,1.4,0.2,0.559,0.286,0.806,13.6,0.191
12,Phil Ford,1980-81,17.3,0.553,23.3,0.5,1.4,0.4878048780487805,1.0,15.0,690.0,0.022,66.0,34.7,17.5,1.9,8.8,1.5,0.1,0.478,0.306,0.831,5.2,0.11
13,Bernard King,1980-81,19.9,0.617,23.2,2.8,3.6,0.47560975609756095,0.0,12.0,690.0,0.017,81.0,36.0,21.9,6.8,3.5,0.9,0.4,0.588,0.333,0.703,9.1,0.15
14,Kelvin Ransey,1980-81,14.9,0.484,24.3,-1.9,0.1,0.5487804878048781,1.0,11.0,690.0,0.016,80.0,30.4,15.2,2.4,6.9,1.1,0.1,0.452,0.097,0.749,2.8,0.056
15,Jack Sikma,1980-81,18.0,0.512,23.6,1.4,2.5,0.4146341463414634,0.0,11.0,690.0,0.016,82.0,35.6,18.7,10.4,3.0,1.0,1.1,0.454,0.0,0.823,8.0,0.132
16,Otis Birdsong,1980-81,20.3,0.58,26.8,2.4,2.9,0.4878048780487805,0.0,7.0,690.0,0.01,71.0,36.5,24.6,3.6,3.3,1.3,0.3,0.544,0.286,0.697,8.2,0.152
17,Micheal Ray Richardson,1980-81,17.1,0.511,20.0,3.2,4.2,0.6097560975609756,0.0,7.0,690.0,0.01,79.0,40.2,16.4,6.9,7.9,2.9,0.4,0.469,0.225,0.663,6.9,0.104
18,Truck Robinson,1980-81,14.9,0.531,21.5,-0.7,1.0,0.6951219512195121,0.0,6.0,690.0,0.009,82.0,37.7,18.8,9.6,2.5,0.8,0.5,0.505,0.0,0.629,7.6,0.119
